text	language	category	concept	type
米饭	Chinese	food	rice	word
米	Japanese	food	rice	word
أرز	Arabic	food	rice	word
рис	Russian	food	rice	word
चावल	Hindi	food	rice	word
밥	Korean	food	rice	word
apple	English	food	apple	word
manzana	Spanish	food	apple	word
pomme	French	food	apple	word
Apfel	German	food	apple	word
苹果	Chinese	food	apple	word
りんご	Japanese	food	apple	word
تفاحة	Arabic	food	apple	word
яблоко	Russian	food	apple	word
सेब	Hindi	food	apple	word
사과	Korean	food	apple	word
coffee	English	food	coffee	word
café	Spanish	food	coffee	word
café	French	food	coffee	word
Kaffee	German	food	coffee	word
咖啡	Chinese	food	coffee	word
コーヒー	Japanese	food	coffee	word
قهوة	Arabic	food	coffee	word
кофе	Russian	food	coffee	word
कॉफ़ी	Hindi	food	coffee	word
커피	Korean	food	coffee	word
tea	English	food	tea	word
té	Spanish	food	tea	word
thé	French	food	tea	word
Tee	German	food	tea	word
茶	Chinese	food	tea	word
お茶	Japanese	food	tea	word
شاي	Arabic	food	tea	word
чай	Russian	food	tea	word
चाय	Hindi	food	tea	word
차	Korean	food	tea	word
mother	English	family	mother	word
madre	Spanish	family	mother	word
mère	French	family	mother	word
Mutter	German	family	mother	word
母亲	Chinese	family	mother	word
母	Japanese	family	mother	word
أم	Arabic	family	mother	word
мать	Russian	family	mother	word
माँ	Hindi	family	mother	word
어머니	Korean	family	mother	word
father	English	family	father	word
padre	Spanish	family	father	word
père	French	family	father	word
Vater	German	family	father	word
父亲	Chinese	family	father	word
父	Japanese	family	father	word
أب	Arabic	family	father	word
отец	Russian	family	father	word
पिता	Hindi	family	father	word
아버지	Korean	family	father	word
brother	English	family	brother	word
hermano	Spanish	family	brother	word
frère	French	family	brother	word
Bruder	German	family	brother	word
兄弟	Chinese	family	brother	word
兄弟	Japanese	family	brother	word
أخ	Arabic	family	brother	word
брат	Russian	family	brother	word
भाई	Hindi	family	brother	word
형제	Korean	family	brother	word
sister	English	family	sister	word
hermana	Spanish	family	sister	word
sœur	French	family	sister	word
Schwester	German	family	sister	word
姐妹	Chinese	family	sister	word
姉妹	Japanese	family	sister	word
أخت	Arabic	family	sister	word
сестра	Russian	family	sister	word
बहन	Hindi	family	sister	word
자매	Korean	family	sister	word
child	English	family	child	word
niño	Spanish	family	child	word
enfant	French	family	child	word
Kind	German	family	child	word
孩子	Chinese	family	child	word
子供	Japanese	family	child	word
طفل	Arabic	family	child	word
ребёнок	Russian	family	child	word
बच्चा	Hindi	family	child	word
아이	Korean	family	child	word
happy	English	emotions	happy	word
feliz	Spanish	emotions	happy	word
heureux	French	emotions	happy	word
glücklich	German	emotions	happy	word
快乐	Chinese	emotions	happy	word
幸せ	Japanese	emotions	happy	word
سعيد	Arabic	emotions	happy	word
счастливый	Russian	emotions	happy	word
खुश	Hindi	emotions	happy	word
행복한	Korean	emotions	happy	word
sad	English	emotions	sad	word
triste	Spanish	emotions	sad	word
triste	French	emotions	sad	word
traurig	German	emotions	sad	word
悲伤	Chinese	emotions	sad	word
悲しい	Japanese	emotions	sad	word
حزين	Arabic	emotions	sad	word
грустный	Russian	emotions	sad	word
उदास	Hindi	emotions	sad	word
슬픈	Korean	emotions	sad	word
angry	English	emotions	angry	word
enojado	Spanish	emotions	angry	word
en colère	French	emotions	angry	word
wütend	German	emotions	angry	word
生气	Chinese	emotions	angry	word
怒った	Japanese	emotions	angry	word
غاضب	Arabic	emotions	angry	word
злой	Russian	emotions	angry	word
गुस्सा	Hindi	emotions	angry	word
화난	Korean	emotions	angry	word
love	English	emotions	love	word
amor	Spanish	emotions	love	word
amour	French	emotions	love	word
Liebe	German	emotions	love	word
爱	Chinese	emotions	love	word
愛	Japanese	emotions	love	word
حب	Arabic	emotions	love	word
любовь	Russian	emotions	love	word
प्यार	Hindi	emotions	love	word
사랑	Korean	emotions	love	word
fear	English	emotions	fear	word
miedo	Spanish	emotions	fear	word
peur	French	emotions	fear	word
Angst	German	emotions	fear	word
恐惧	Chinese	emotions	fear	word
恐怖	Japanese	emotions	fear	word
خوف	Arabic	emotions	fear	word
страх	Russian	emotions	fear	word
डर	Hindi	emotions	fear	word
두려움	Korean	emotions	fear	word
one	English	numbers	one	word
uno	Spanish	numbers	one	word
un	French	numbers	one	word
eins	German	numbers	one	word
一	Chinese	numbers	one	word
一	Japanese	numbers	one	word
واحد	Arabic	numbers	one	word
один	Russian	numbers	one	word
एक	Hindi	numbers	one	word
하나	Korean	numbers	one	word
two	English	numbers	two	word
dos	Spanish	numbers	two	word
deux	French	numbers	two	word
zwei	German	numbers	two	word
二	Chinese	numbers	two	word
二	Japanese	numbers	two	word
اثنان	Arabic	numbers	two	word
два	Russian	numbers	two	word
दो	Hindi	numbers	two	word
둘	Korean	numbers	two	word
three	English	numbers	three	word
tres	Spanish	numbers	three	word
trois	French	numbers	three	word
drei	German	numbers	three	word
三	Chinese	numbers	three	word
三	Japanese	numbers	three	word
ثلاثة	Arabic	numbers	three	word
три	Russian	numbers	three	word
तीन	Hindi	numbers	three	word
셋	Korean	numbers	three	word
ten	English	numbers	ten	word
diez	Spanish	numbers	ten	word
dix	French	numbers	ten	word
zehn	German	numbers	ten	word
十	Chinese	numbers	ten	word
十	Japanese	numbers	ten	word
عشرة	Arabic	numbers	ten	word
десять	Russian	numbers	ten	word
दस	Hindi	numbers	ten	word
열	Korean	numbers	ten	word
house	English	places	house	word
casa	Spanish	places	house	word
maison	French	places	house	word
Haus	German	places	house	word
房子	Chinese	places	house	word
家	Japanese	places	house	word
بيت	Arabic	places	house	word
дом	Russian	places	house	word
घर	Hindi	places	house	word
집	Korean	places	house	word
school	English	places	school	word
escuela	Spanish	places	school	word
école	French	places	school	word
Schule	German	places	school	word
学校	Chinese	places	school	word
学校	Japanese	places	school	word
مدرسة	Arabic	places	school	word
школа	Russian	places	school	word
स्कूल	Hindi	places	school	word
학교	Korean	places	school	word
hospital	English	places	hospital	word
hospital	Spanish	places	hospital	word
hôpital	French	places	hospital	word
Krankenhaus	German	places	hospital	word
医院	Chinese	places	hospital	word
病院	Japanese	places	hospital	word
مستشفى	Arabic	places	hospital	word
больница	Russian	places	hospital	word
अस्पताल	Hindi	places	hospital	word
병원	Korean	places	hospital	word
market	English	places	market	word
mercado	Spanish	places	market	word
marché	French	places	market	word
Markt	German	places	market	word
市场	Chinese	places	market	word
市場	Japanese	places	market	word
سوق	Arabic	places	market	word
рынок	Russian	places	market	word
बाज़ार	Hindi	places	market	word
시장	Korean	places	market	word
run	English	actions	run	word
correr	Spanish	actions	run	word
courir	French	actions	run	word
laufen	German	actions	run	word
跑	Chinese	actions	run	word
走る	Japanese	actions	run	word
يجري	Arabic	actions	run	word
бежать	Russian	actions	run	word
दौड़ना	Hindi	actions	run	word
달리다	Korean	actions	run	word
eat	English	actions	eat	word
comer	Spanish	actions	eat	word
manger	French	actions	eat	word
essen	German	actions	eat	word
吃	Chinese	actions	eat	word
食べる	Japanese	actions	eat	word
يأكل	Arabic	actions	eat	word
есть	Russian	actions	eat	word
खाना	Hindi	actions	eat	word
먹다	Korean	actions	eat	word
sleep	English	actions	sleep	word
dormir	Spanish	actions	sleep	word
dormir	French	actions	sleep	word
schlafen	German	actions	sleep	word
睡觉	Chinese	actions	sleep	word
寝る	Japanese	actions	sleep	word
ينام	Arabic	actions	sleep	word
спать	Russian	actions	sleep	word
सोना	Hindi	actions	sleep	word
자다	Korean	actions	sleep	word
read	English	actions	read	word
leer	Spanish	actions	read	word
lire	French	actions	read	word
lesen	German	actions	read	word
读	Chinese	actions	read	word
読む	Japanese	actions	read	word
يقرأ	Arabic	actions	read	word
читать	Russian	actions	read	word
पढ़ना	Hindi	actions	read	word
읽다	Korean	actions	read	word
write	English	actions	write	word
escribir	Spanish	actions	write	word
écrire	French	actions	write	word
schreiben	German	actions	write	word
写	Chinese	actions	write	word
書く	Japanese	actions	write	word
يكتب	Arabic	actions	write	word
писать	Russian	actions	write	word
लिखना	Hindi	actions	write	word
쓰다	Korean	actions	write	word
Hello, how are you?	English	parallel_sentence	sentence_1	sentence
Hola, ¿cómo estás?	Spanish	parallel_sentence	sentence_1	sentence
Bonjour, comment allez-vous?	French	parallel_sentence	sentence_1	sentence
Hallo, wie geht es dir?	German	parallel_sentence	sentence_1	sentence
你好，你好吗？	Chinese	parallel_sentence	sentence_1	sentence
こんにちは、お元気ですか？	Japanese	parallel_sentence	sentence_1	sentence
مرحبا، كيف حالك؟	Arabic	parallel_sentence	sentence_1	sentence
Здравствуйте, как дела?	Russian	parallel_sentence	sentence_1	sentence
नमस्ते, आप कैसे हैं?	Hindi	parallel_sentence	sentence_1	sentence
안녕하세요, 잘 지내세요?	Korean	parallel_sentence	sentence_1	sentence
I love reading books.	English	parallel_sentence	sentence_2	sentence
Me encanta leer libros.	Spanish	parallel_sentence	sentence_2	sentence
J'adore lire des livres.	French	parallel_sentence	sentence_2	sentence
Ich liebe es, Bücher zu lesen.	German	parallel_sentence	sentence_2	sentence
我喜欢读书。	Chinese	parallel_sentence	sentence_2	sentence
私は本を読むのが大好きです。	Japanese	parallel_sentence	sentence_2	sentence
أحب قراءة الكتب.	Arabic	parallel_sentence	sentence_2	sentence
Я люблю читать книги.	Russian	parallel_sentence	sentence_2	sentence
मुझे किताबें पढ़ना पसंद है।	Hindi	parallel_sentence	sentence_2	sentence
저는 책 읽는 것을 좋아합니다.	Korean	parallel_sentence	sentence_2	sentence
The weather is beautiful today.	English	parallel_sentence	sentence_3	sentence
El clima está hermoso hoy.	Spanish	parallel_sentence	sentence_3	sentence
Le temps est magnifique aujourd'hui.	French	parallel_sentence	sentence_3	sentence
Das Wetter ist heute schön.	German	parallel_sentence	sentence_3	sentence
今天天气很好。	Chinese	parallel_sentence	sentence_3	sentence
今日は天気がいいですね。	Japanese	parallel_sentence	sentence_3	sentence
الطقس جميل اليوم.	Arabic	parallel_sentence	sentence_3	sentence
Сегодня прекрасная погода.	Russian	parallel_sentence	sentence_3	sentence
आज मौसम खूबसूरत है।	Hindi	parallel_sentence	sentence_3	sentence
오늘 날씨가 아름답습니다.	Korean	parallel_sentence	sentence_3	sentence
Thank you very much.	English	parallel_sentence	sentence_4	sentence
Muchas gracias.	Spanish	parallel_sentence	sentence_4	sentence
Merci beaucoup.	French	parallel_sentence	sentence_4	sentence
Vielen Dank.	German	parallel_sentence	sentence_4	sentence
非常感谢。	Chinese	parallel_sentence	sentence_4	sentence
どうもありがとうございます。	Japanese	parallel_sentence	sentence_4	sentence
شكرا جزيلا.	Arabic	parallel_sentence	sentence_4	sentence
Большое спасибо.	Russian	parallel_sentence	sentence_4	sentence
बहुत धन्यवाद।	Hindi	parallel_sentence	sentence_4	sentence
정말 감사합니다.	Korean	parallel_sentence	sentence_4	sentence
Where is the train station?	English	parallel_sentence	sentence_5	sentence
¿Dónde está la estación de tren?	Spanish	parallel_sentence	sentence_5	sentence
Où est la gare?	French	parallel_sentence	sentence_5	sentence
Wo ist der Bahnhof?	German	parallel_sentence	sentence_5	sentence
火车站在哪里？	Chinese	parallel_sentence	sentence_5	sentence
駅はどこですか？	Japanese	parallel_sentence	sentence_5	sentence
أين محطة القطار؟	Arabic	parallel_sentence	sentence_5	sentence
Где находится вокзал?	Russian	parallel_sentence	sentence_5	sentence
रेलवे स्टेशन कहाँ है?	Hindi	parallel_sentence	sentence_5	sentence
기차역이 어디에 있나요?	Korean	parallel_sentence	sentence_5	sentence
Paris	English	named_entity	Paris	entity
París	Spanish	named_entity	Paris	entity
Paris	French	named_entity	Paris	entity
Paris	German	named_entity	Paris	entity
巴黎	Chinese	named_entity	Paris	entity
パリ	Japanese	named_entity	Paris	entity
باريس	Arabic	named_entity	Paris	entity
Париж	Russian	named_entity	Paris	entity
पेरिस	Hindi	named_entity	Paris	entity
파리	Korean	named_entity	Paris	entity
London	English	named_entity	London	entity
Londres	Spanish	named_entity	London	entity
Londres	French	named_entity	London	entity
London	German	named_entity	London	entity
伦敦	Chinese	named_entity	London	entity
ロンドン	Japanese	named_entity	London	entity
لندن	Arabic	named_entity	London	entity
Лондон	Russian	named_entity	London	entity
लंदन	Hindi	named_entity	London	entity
런던	Korean	named_entity	London	entity
Tokyo	English	named_entity	Tokyo	entity
Tokio	Spanish	named_entity	Tokyo	entity
Tokyo	French	named_entity	Tokyo	entity
Tokio	German	named_entity	Tokyo	entity
东京	Chinese	named_entity	Tokyo	entity
東京	Japanese	named_entity	Tokyo	entity
طوكيو	Arabic	named_entity	Tokyo	entity
Токио	Russian	named_entity	Tokyo	entity
टोक्यो	Hindi	named_entity	Tokyo	entity
도쿄	Korean	named_entity	Tokyo	entity
Einstein	English	named_entity	Einstein	entity
Einstein	Spanish	named_entity	Einstein	entity
Einstein	French	named_entity	Einstein	entity
Einstein	German	named_entity	Einstein	entity
爱因斯坦	Chinese	named_entity	Einstein	entity
アインシュタイン	Japanese	named_entity	Einstein	entity
أينشتاين	Arabic	named_entity	Einstein	entity
Эйнштейн	Russian	named_entity	Einstein	entity
आइंस्टीन	Hindi	named_entity	Einstein	entity
아인슈타인	Korean	named_entity	Einstein	entity
